checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,default,credit_income_ratio,monthly_payment,age_group,credit_amount_bin,duration_category,has_checking,good_credit_history,stable_employment,owns_property,owns_housing
0-200 DM,14,Existing credits paid till now,Business,1410,500-1000 DM,>= 7 years,1,Male: married/widowed,None,2,Real estate,35,None,Own,1,Skilled employee,1,Yes,Yes,0,705.0,100.71428571428571,26-35,Medium,Medium (1-2yr),1,1,1,1,1
0-200 DM,6,Delay in past payments,Business,1449,100-500 DM,>= 7 years,1,Male: divorced/separated,None,2,Car or other,31,Bank,Own,2,Skilled employee,2,None,Yes,0,724.5,241.5,26-35,Medium,Short (1yr),1,0,1,0,1
>= 200 DM,15,Existing credits paid till now,Education,392,< 100 DM,< 1 year,4,Female: divorced/married,None,4,Savings/life insurance,23,None,Rent,1,Skilled employee,1,Yes,Yes,0,78.4,26.133333333333333,18-25,Low,Medium (1-2yr),1,1,0,0,0
0-200 DM,18,Existing credits paid till now,Car (new),6260,< 100 DM,4-7 years,3,Male: single,None,3,Real estate,28,None,Rent,1,Unskilled resident,1,None,Yes,0,1565.0,347.77777777777777,26-35,Very High,Medium (1-2yr),1,1,1,1,0
No checking account,36,Critical account,Car (new),7855,< 100 DM,1-4 years,4,Female: divorced/married,None,2,Real estate,25,Stores,Own,2,Skilled employee,1,Yes,Yes,1,1571.0,218.19444444444446,18-25,Very High,Long (2-4yr),0,0,0,1,1
< 0 DM,12,Existing credits paid till now,Radio/TV,1680,500-1000 DM,>= 7 years,3,Male: married/widowed,None,1,Real estate,35,None,Own,1,Skilled employee,1,None,Yes,0,420.0,140.0,26-35,Medium,Short (1yr),1,1,1,1,1
No checking account,48,Critical account,Radio/TV,3578,Unknown/none,>= 7 years,4,Male: single,None,1,Real estate,47,None,Own,1,Skilled employee,1,Yes,Yes,0,715.6,74.54166666666667,46-55,High,Long (2-4yr),0,0,1,1,1
< 0 DM,42,Existing credits paid till now,Radio/TV,7174,Unknown/none,4-7 years,4,Female: divorced/married,None,3,Car or other,30,None,Own,1,Highly skilled/self-employed,1,Yes,Yes,1,1434.8,170.8095238095238,26-35,Very High,Long (2-4yr),1,1,1,0,1
< 0 DM,10,Critical account,Furniture/equipment,2132,Unknown/none,< 1 year,2,Female: divorced/married,Co-applicant,3,Real estate,27,None,Rent,2,Skilled employee,1,None,No,0,710.6666666666666,213.2,26-35,Medium,Short (1yr),1,0,0,1,0
< 0 DM,33,Critical account,Furniture/equipment,4281,500-1000 DM,1-4 years,1,Female: divorced/married,None,4,Car or other,23,None,Own,2,Skilled employee,1,None,Yes,1,2140.5,129.72727272727272,18-25,Very High,Long (2-4yr),1,0,0,0,1
0-200 DM,12,Critical account,Car (new),2366,500-1000 DM,4-7 years,3,Male: divorced/separated,None,3,Car or other,36,None,Own,1,Highly skilled/self-employed,1,Yes,Yes,0,591.5,197.16666666666666,36-45,High,Short (1yr),1,0,1,0,1
< 0 DM,21,Existing credits paid till now,Radio/TV,1835,< 100 DM,1-4 years,3,Female: divorced/married,None,2,Real estate,25,None,Own,2,Skilled employee,1,Yes,Yes,1,458.75,87.38095238095238,18-25,Medium,Medium (1-2yr),1,1,0,1,1
No checking account,24,Critical account,Car (used),3868,< 100 DM,>= 7 years,4,Female: divorced/married,None,2,Car or other,41,None,Rent,2,Highly skilled/self-employed,1,Yes,Yes,0,773.6,161.16666666666666,36-45,High,Medium (1-2yr),0,0,1,0,0
No checking account,12,Existing credits paid till now,Furniture/equipment,1768,< 100 DM,1-4 years,3,Male: single,None,2,Real estate,24,None,Rent,1,Unskilled resident,1,None,Yes,0,442.0,147.33333333333334,18-25,Medium,Short (1yr),0,1,0,1,0
>= 200 DM,10,Critical account,Car (new),781,< 100 DM,>= 7 years,4,Male: single,None,4,Unknown/none,63,None,For free,2,Skilled employee,1,Yes,Yes,0,156.2,78.1,55+,Low,Short (1yr),1,0,1,0,0
0-200 DM,18,Existing credits paid till now,Furniture/equipment,1924,Unknown/none,< 1 year,4,Female: divorced/married,None,3,Real estate,27,None,Rent,1,Skilled employee,1,None,Yes,1,384.8,106.88888888888889,26-35,Medium,Medium (1-2yr),1,1,0,1,0
< 0 DM,12,Critical account,Car (new),2121,< 100 DM,1-4 years,4,Male: single,None,2,Savings/life insurance,30,None,Own,2,Skilled employee,1,None,Yes,0,424.2,176.75,26-35,Medium,Short (1yr),1,0,0,0,1
< 0 DM,12,Existing credits paid till now,Radio/TV,701,< 100 DM,1-4 years,4,Male: married/widowed,None,2,Real estate,40,None,Own,1,Unskilled resident,1,None,Yes,0,140.2,58.416666666666664,36-45,Low,Short (1yr),1,1,0,1,1
0-200 DM,12,Existing credits paid till now,Repairs,639,< 100 DM,1-4 years,4,Male: single,None,2,Car or other,30,None,Own,1,Skilled employee,1,None,Yes,1,127.8,53.25,26-35,Low,Short (1yr),1,1,0,0,1
0-200 DM,12,Critical account,Car (used),1860,< 100 DM,Unemployed,4,Male: single,None,2,Car or other,34,None,Own,2,Highly skilled/self-employed,1,Yes,Yes,0,372.0,155.0,26-35,Medium,Short (1yr),1,0,0,0,1
< 0 DM,12,Critical account,Car (new),3499,< 100 DM,1-4 years,3,Female: divorced/married,Co-applicant,2,Real estate,29,None,Own,2,Skilled employee,1,None,Yes,1,874.75,291.5833333333333,26-35,High,Short (1yr),1,0,0,1,1
0-200 DM,48,Existing credits paid till now,Car (new),8487,Unknown/none,4-7 years,1,Female: divorced/married,None,2,Car or other,24,None,Own,1,Skilled employee,1,None,Yes,0,4243.5,176.8125,18-25,Very High,Long (2-4yr),1,1,1,0,1
< 0 DM,36,Delay in past payments,Education,6887,< 100 DM,1-4 years,4,Male: single,None,3,Savings/life insurance,29,Stores,Own,1,Skilled employee,1,Yes,Yes,1,1377.4,191.30555555555554,26-35,Very High,Long (2-4yr),1,0,0,0,1
No checking account,15,Existing credits paid till now,Furniture/equipment,2708,< 100 DM,< 1 year,2,Male: single,None,3,Savings/life insurance,27,Bank,Own,2,Unskilled resident,1,None,Yes,0,902.6666666666666,180.53333333333333,26-35,High,Medium (1-2yr),0,1,0,0,1
No checking account,18,Existing credits paid till now,Furniture/equipment,1984,< 100 DM,1-4 years,4,Male: single,None,4,Unknown/none,47,Bank,For free,2,Skilled employee,1,None,Yes,0,396.8,110.22222222222223,46-55,Medium,Medium (1-2yr),0,1,0,0,0
No checking account,60,Existing credits paid till now,Radio/TV,10144,100-500 DM,4-7 years,2,Female: divorced/married,None,4,Real estate,21,None,Own,1,Skilled employee,1,Yes,Yes,0,3381.3333333333335,169.06666666666666,18-25,Very High,Very Long (4yr+),0,1,1,1,1
No checking account,12,Critical account,Radio/TV,1240,Unknown/none,>= 7 years,4,Female: divorced/married,None,2,Real estate,38,None,Own,2,Skilled employee,1,Yes,Yes,0,248.0,103.33333333333333,36-45,Low,Short (1yr),0,0,1,1,1
No checking account,27,Delay in past payments,Car (used),8613,>= 1000 DM,1-4 years,2,Male: single,None,2,Car or other,27,None,Own,2,Skilled employee,1,None,Yes,0,2871.0,319.0,26-35,Very High,Long (2-4yr),0,0,0,0,1
0-200 DM,12,Existing credits paid till now,Radio/TV,766,500-1000 DM,1-4 years,4,Male: single,None,3,Real estate,66,None,Own,1,Unskilled resident,1,None,Yes,1,153.2,63.833333333333336,55+,Low,Short (1yr),1,1,0,1,1
0-200 DM,15,Critical account,Radio/TV,2728,Unknown/none,4-7 years,4,Male: single,Guarantor,2,Real estate,35,Bank,Own,3,Skilled employee,1,Yes,Yes,0,545.6,181.86666666666667,26-35,High,Medium (1-2yr),1,0,1,1,1
>= 200 DM,12,Existing credits paid till now,Radio/TV,1881,< 100 DM,1-4 years,2,Female: divorced/married,None,2,Car or other,44,None,Rent,1,Unskilled resident,1,Yes,Yes,0,627.0,156.75,36-45,Medium,Short (1yr),1,1,0,0,0
>= 200 DM,6,Existing credits paid till now,Car (new),709,>= 1000 DM,< 1 year,2,Male: married/widowed,None,2,Real estate,27,None,Own,1,Unemployed/unskilled non-resident,1,None,No,0,236.33333333333334,118.16666666666667,26-35,Low,Short (1yr),1,1,0,1,1
0-200 DM,36,Existing credits paid till now,Radio/TV,4795,< 100 DM,< 1 year,4,Female: divorced/married,None,1,Unknown/none,30,None,Own,1,Highly skilled/self-employed,1,Yes,Yes,0,959.0,133.19444444444446,26-35,Very High,Long (2-4yr),1,1,0,0,1
< 0 DM,27,Existing credits paid till now,Radio/TV,3416,< 100 DM,1-4 years,3,Male: single,None,2,Car or other,27,None,Own,1,Highly skilled/self-employed,1,None,Yes,0,854.0,126.51851851851852,26-35,High,Long (2-4yr),1,1,0,0,1
< 0 DM,18,Existing credits paid till now,Furniture/equipment,2462,< 100 DM,1-4 years,2,Male: single,None,2,Car or other,22,None,Own,1,Skilled employee,1,None,Yes,1,820.6666666666666,136.77777777777777,18-25,High,Medium (1-2yr),1,1,0,0,1
No checking account,21,Critical account,Furniture/equipment,2288,< 100 DM,< 1 year,4,Female: divorced/married,None,4,Savings/life insurance,23,None,Own,1,Skilled employee,1,Yes,Yes,0,457.6,108.95238095238095,18-25,Medium,Medium (1-2yr),0,0,0,0,1
0-200 DM,48,All credits paid at this bank,Business,3566,100-500 DM,4-7 years,4,Male: single,None,2,Car or other,30,None,Own,1,Skilled employee,1,None,Yes,0,713.2,74.29166666666667,26-35,High,Long (2-4yr),1,1,1,0,1
< 0 DM,6,Critical account,Car (new),860,< 100 DM,>= 7 years,1,Female: divorced/married,None,4,Unknown/none,39,None,Own,2,Skilled employee,1,Yes,Yes,0,430.0,143.33333333333334,36-45,Low,Short (1yr),1,0,1,0,1
No checking account,12,Critical account,Car (new),682,100-500 DM,4-7 years,4,Female: divorced/married,None,3,Car or other,51,None,Own,2,Skilled employee,1,Yes,Yes,0,136.4,56.833333333333336,46-55,Low,Short (1yr),0,0,1,0,1
< 0 DM,36,Critical account,Furniture/equipment,5371,< 100 DM,1-4 years,3,Male: single,Guarantor,2,Savings/life insurance,28,None,Own,2,Skilled employee,1,None,Yes,0,1342.75,149.19444444444446,26-35,Very High,Long (2-4yr),1,0,0,0,1
No checking account,18,Critical account,Radio/TV,1582,>= 1000 DM,>= 7 years,4,Male: single,None,4,Car or other,46,None,Own,2,Skilled employee,1,None,Yes,0,316.4,87.88888888888889,46-55,Medium,Medium (1-2yr),0,0,1,0,1
No checking account,6,Existing credits paid till now,Radio/TV,1346,100-500 DM,>= 7 years,2,Male: single,None,4,Unknown/none,42,Bank,For free,1,Skilled employee,2,Yes,Yes,0,448.6666666666667,224.33333333333334,36-45,Low,Short (1yr),0,1,1,0,0
No checking account,10,Existing credits paid till now,Radio/TV,1924,< 100 DM,1-4 years,1,Male: single,None,4,Savings/life insurance,38,None,Own,1,Skilled employee,1,Yes,No,0,962.0,192.4,36-45,Medium,Short (1yr),0,1,0,0,1
>= 200 DM,36,Existing credits paid till now,Radio/TV,5848,< 100 DM,1-4 years,4,Male: single,None,1,Car or other,24,None,Own,1,Skilled employee,1,None,Yes,0,1169.6,162.44444444444446,18-25,Very High,Long (2-4yr),1,1,0,0,1
0-200 DM,24,Critical account,Car (used),7758,>= 1000 DM,>= 7 years,2,Female: divorced/married,None,4,Unknown/none,29,None,Rent,1,Skilled employee,1,None,Yes,0,2586.0,323.25,26-35,Very High,Medium (1-2yr),1,0,1,0,0
0-200 DM,24,Delay in past payments,Business,6967,100-500 DM,4-7 years,4,Male: single,None,4,Car or other,36,None,Rent,1,Highly skilled/self-employed,1,Yes,Yes,0,1393.4,290.2916666666667,36-45,Very High,Medium (1-2yr),1,0,1,0,0
< 0 DM,12,Existing credits paid till now,Furniture/equipment,1282,< 100 DM,1-4 years,2,Female: divorced/married,None,4,Car or other,20,None,Rent,1,Skilled employee,1,None,Yes,1,427.3333333333333,106.83333333333333,18-25,Low,Short (1yr),1,1,0,0,0
< 0 DM,9,Critical account,Repairs,1288,100-500 DM,>= 7 years,3,Male: single,Guarantor,4,Real estate,48,None,Own,2,Skilled employee,2,None,No,0,322.0,143.11111111111111,46-55,Low,Short (1yr),1,0,1,1,1
< 0 DM,12,All credits paid at this bank,Retraining,339,< 100 DM,>= 7 years,4,Male: married/widowed,None,1,Car or other,45,Bank,Own,1,Unskilled resident,1,None,Yes,0,67.8,28.25,36-45,Low,Short (1yr),1,1,1,0,1
0-200 DM,24,Existing credits paid till now,Car (new),3512,100-500 DM,4-7 years,2,Male: single,None,3,Car or other,38,Bank,Own,2,Skilled employee,1,Yes,Yes,0,1170.6666666666667,146.33333333333334,36-45,High,Medium (1-2yr),1,1,1,0,1
No checking account,6,Critical account,Radio/TV,1898,Unknown/none,1-4 years,1,Male: single,None,2,Real estate,34,None,Own,2,Unskilled resident,2,None,Yes,0,949.0,316.3333333333333,26-35,Medium,Short (1yr),0,0,0,1,1
No checking account,24,Critical account,Radio/TV,2872,100-500 DM,>= 7 years,3,Male: single,None,4,Real estate,36,None,Own,1,Skilled employee,2,Yes,Yes,0,718.0,119.66666666666667,36-45,High,Medium (1-2yr),0,0,1,1,1
No checking account,18,Critical account,Car (new),1055,< 100 DM,< 1 year,4,Female: divorced/married,None,1,Savings/life insurance,30,None,Own,2,Skilled employee,1,None,Yes,0,211.0,58.611111111111114,26-35,Low,Medium (1-2yr),0,0,0,0,1
No checking account,15,Existing credits paid till now,Domestic appliances,1262,500-1000 DM,4-7 years,4,Male: single,None,3,Savings/life insurance,36,None,Own,2,Skilled employee,1,Yes,Yes,0,252.4,84.13333333333334,36-45,Low,Medium (1-2yr),0,1,1,0,1
0-200 DM,10,Existing credits paid till now,Car (new),7308,< 100 DM,Unemployed,2,Male: single,None,4,Unknown/none,70,Bank,For free,1,Highly skilled/self-employed,1,Yes,Yes,0,2436.0,730.8,55+,Very High,Short (1yr),1,1,0,0,0
No checking account,36,Existing credits paid till now,Car (new),909,500-1000 DM,>= 7 years,4,Male: single,None,4,Savings/life insurance,36,None,Own,1,Skilled employee,1,None,Yes,0,181.8,25.25,36-45,Low,Long (2-4yr),0,1,1,0,1
No checking account,6,Existing credits paid till now,Furniture/equipment,2978,500-1000 DM,1-4 years,1,Male: single,None,2,Car or other,32,None,Own,1,Skilled employee,1,Yes,Yes,0,1489.0,496.3333333333333,26-35,High,Short (1yr),0,1,0,0,1
< 0 DM,18,Existing credits paid till now,Furniture/equipment,1131,< 100 DM,Unemployed,4,Female: divorced/married,None,2,Car or other,33,None,Own,1,Skilled employee,1,None,Yes,1,226.2,62.833333333333336,26-35,Low,Medium (1-2yr),1,1,0,0,1
0-200 DM,11,Existing credits paid till now,Furniture/equipment,1577,>= 1000 DM,< 1 year,4,Female: divorced/married,None,1,Real estate,20,None,Own,1,Skilled employee,1,None,Yes,0,315.4,143.36363636363637,18-25,Medium,Short (1yr),1,1,0,1,1
No checking account,24,Existing credits paid till now,Furniture/equipment,3972,< 100 DM,4-7 years,2,Female: divorced/married,None,4,Savings/life insurance,25,None,Rent,1,Skilled employee,1,Yes,Yes,0,1324.0,165.5,18-25,High,Medium (1-2yr),0,1,1,0,0
0-200 DM,24,Critical account,Business,1935,< 100 DM,>= 7 years,4,Male: divorced/separated,None,4,Real estate,31,None,Own,2,Skilled employee,1,Yes,Yes,1,387.0,80.625,26-35,Medium,Medium (1-2yr),1,0,1,1,1
< 0 DM,15,No credits/all paid,Car (new),950,< 100 DM,>= 7 years,4,Male: single,None,3,Car or other,33,None,Rent,2,Skilled employee,2,None,Yes,1,190.0,63.333333333333336,26-35,Low,Medium (1-2yr),1,1,1,0,0
No checking account,12,Existing credits paid till now,Furniture/equipment,763,< 100 DM,1-4 years,4,Female: divorced/married,None,1,Real estate,26,None,Own,1,Skilled employee,1,Yes,Yes,0,152.6,63.583333333333336,26-35,Low,Short (1yr),0,1,0,1,1
0-200 DM,24,Delay in past payments,Furniture/equipment,2064,< 100 DM,Unemployed,3,Female: divorced/married,None,2,Savings/life insurance,34,None,Own,1,Highly skilled/self-employed,1,Yes,Yes,1,516.0,86.0,26-35,Medium,Medium (1-2yr),1,0,0,0,1
0-200 DM,8,Existing credits paid till now,Radio/TV,1414,< 100 DM,1-4 years,4,Male: single,Guarantor,2,Real estate,33,None,Own,1,Skilled employee,1,None,No,0,282.8,176.75,26-35,Medium,Short (1yr),1,1,0,1,1
< 0 DM,21,Delay in past payments,Education,3414,< 100 DM,< 1 year,2,Male: single,None,1,Savings/life insurance,26,None,Own,2,Skilled employee,1,None,Yes,1,1138.0,162.57142857142858,26-35,High,Medium (1-2yr),1,0,0,0,1
No checking account,30,All credits paid at this bank,Car (used),7485,Unknown/none,Unemployed,4,Female: divorced/married,None,1,Real estate,53,Bank,Own,1,Highly skilled/self-employed,1,Yes,Yes,1,1497.0,249.5,46-55,Very High,Long (2-4yr),0,1,0,1,1
< 0 DM,12,Existing credits paid till now,Furniture/equipment,2577,< 100 DM,1-4 years,2,Male: divorced/separated,None,1,Car or other,42,None,Own,1,Skilled employee,1,None,Yes,0,859.0,214.75,36-45,High,Short (1yr),1,1,0,0,1
< 0 DM,6,Critical account,Radio/TV,338,500-1000 DM,>= 7 years,4,Male: single,None,4,Car or other,52,None,Own,2,Skilled employee,1,None,Yes,0,67.6,56.333333333333336,46-55,Low,Short (1yr),1,0,1,0,1
No checking account,12,Existing credits paid till now,Radio/TV,1963,< 100 DM,4-7 years,4,Male: single,None,2,Car or other,31,None,Rent,2,Highly skilled/self-employed,2,Yes,Yes,0,392.6,163.58333333333334,26-35,Medium,Short (1yr),0,1,1,0,0
< 0 DM,21,Critical account,Car (new),571,< 100 DM,>= 7 years,4,Male: single,None,4,Real estate,65,None,Own,2,Skilled employee,1,None,Yes,0,114.2,27.19047619047619,55+,Low,Medium (1-2yr),1,0,1,1,1
No checking account,36,Delay in past payments,Business,9572,< 100 DM,< 1 year,1,Male: divorced/separated,None,1,Car or other,28,None,Own,2,Skilled employee,1,None,Yes,1,4786.0,265.8888888888889,26-35,Very High,Long (2-4yr),0,0,0,0,1
0-200 DM,36,Delay in past payments,Business,4455,< 100 DM,1-4 years,2,Male: divorced/separated,None,2,Real estate,30,Stores,Own,2,Highly skilled/self-employed,1,Yes,Yes,1,1485.0,123.75,26-35,Very High,Long (2-4yr),1,0,0,1,1
< 0 DM,21,All credits paid at this bank,Car (new),1647,Unknown/none,1-4 years,4,Male: single,None,2,Savings/life insurance,40,None,Own,2,Unskilled resident,2,None,Yes,1,329.4,78.42857142857143,36-45,Medium,Medium (1-2yr),1,1,0,0,1
No checking account,24,Critical account,Furniture/equipment,3777,>= 1000 DM,1-4 years,4,Male: single,None,4,Real estate,50,None,Own,1,Skilled employee,1,Yes,Yes,0,755.4,157.375,46-55,High,Medium (1-2yr),0,0,0,1,1
0-200 DM,18,Critical account,Car (new),884,< 100 DM,>= 7 years,4,Male: single,None,4,Car or other,36,Bank,Own,1,Skilled employee,2,Yes,Yes,1,176.8,49.111111111111114,36-45,Low,Medium (1-2yr),1,0,1,0,1
No checking account,15,Critical account,Radio/TV,1360,< 100 DM,1-4 years,4,Male: single,None,2,Savings/life insurance,31,None,Own,2,Skilled employee,1,None,Yes,0,272.0,90.66666666666667,26-35,Low,Medium (1-2yr),0,0,0,0,1
0-200 DM,9,All credits paid at this bank,Car (used),5129,< 100 DM,>= 7 years,2,Female: divorced/married,None,4,Unknown/none,74,Bank,For free,1,Highly skilled/self-employed,2,Yes,Yes,1,1709.6666666666667,569.8888888888889,55+,Very High,Short (1yr),1,1,1,0,0
0-200 DM,16,Critical account,Car (new),1175,< 100 DM,Unemployed,2,Male: single,None,3,Car or other,68,None,For free,3,Unemployed/unskilled non-resident,1,Yes,Yes,0,391.6666666666667,73.4375,55+,Low,Medium (1-2yr),1,0,0,0,0
< 0 DM,12,Existing credits paid till now,Radio/TV,674,100-500 DM,4-7 years,4,Male: married/widowed,None,1,Savings/life insurance,20,None,Own,1,Skilled employee,1,None,Yes,1,134.8,56.166666666666664,18-25,Low,Short (1yr),1,1,1,0,1
0-200 DM,18,No credits/all paid,Furniture/equipment,3244,< 100 DM,1-4 years,1,Female: divorced/married,None,4,Car or other,33,Bank,Own,2,Skilled employee,1,Yes,Yes,0,1622.0,180.22222222222223,26-35,High,Medium (1-2yr),1,1,0,0,1
No checking account,24,Existing credits paid till now,Business,4591,>= 1000 DM,1-4 years,2,Male: single,None,3,Savings/life insurance,54,None,Own,3,Highly skilled/self-employed,1,Yes,Yes,1,1530.3333333333333,191.29166666666666,46-55,Very High,Medium (1-2yr),0,1,0,0,1
0-200 DM,48,No credits/all paid,Business,3844,100-500 DM,4-7 years,4,Male: single,None,4,Unknown/none,34,None,For free,1,Unskilled resident,2,None,Yes,1,768.8,80.08333333333333,26-35,High,Long (2-4yr),1,1,1,0,0
0-200 DM,27,Existing credits paid till now,Business,3915,< 100 DM,1-4 years,4,Male: single,None,2,Car or other,36,None,Own,1,Skilled employee,2,Yes,Yes,1,783.0,145.0,36-45,High,Long (2-4yr),1,1,0,0,1
No checking account,6,Existing credits paid till now,Radio/TV,2108,< 100 DM,4-7 years,2,Male: married/widowed,None,2,Real estate,29,None,Rent,1,Skilled employee,1,None,Yes,0,702.6666666666666,351.3333333333333,26-35,Medium,Short (1yr),0,1,1,1,0
0-200 DM,45,Existing credits paid till now,Radio/TV,3031,100-500 DM,1-4 years,4,Male: single,Guarantor,4,Savings/life insurance,21,None,Rent,1,Skilled employee,1,None,Yes,1,606.2,67.35555555555555,18-25,High,Long (2-4yr),1,1,0,0,0
0-200 DM,9,Critical account,Education,1501,< 100 DM,>= 7 years,2,Female: divorced/married,None,3,Car or other,34,None,Own,2,Highly skilled/self-employed,1,Yes,Yes,1,500.3333333333333,166.77777777777777,26-35,Medium,Short (1yr),1,0,1,0,1
No checking account,6,Critical account,Radio/TV,1382,< 100 DM,1-4 years,1,Female: divorced/married,None,1,Car or other,28,None,Own,2,Skilled employee,1,Yes,Yes,0,691.0,230.33333333333334,26-35,Medium,Short (1yr),0,0,0,0,1
0-200 DM,12,Existing credits paid till now,Furniture/equipment,951,100-500 DM,< 1 year,4,Female: divorced/married,None,4,Car or other,27,Bank,Rent,4,Skilled employee,1,None,Yes,1,190.2,79.25,26-35,Low,Short (1yr),1,1,0,0,0
